dataset,column_name,predicted_type,confidence
titanic,PassengerId,representation.identifier.increment,0.5051425099372864
titanic,Survived,representation.boolean.binary,1.0
titanic,Pclass,representation.discrete.ordinal,0.6800495386123657
titanic,Name,identity.person.full_name,0.9989174604415894
titanic,Sex,identity.person.gender,1.0
titanic,Age,representation.numeric.integer_number,0.800000011920929
titanic,SibSp,representation.discrete.ordinal,0.9816569089889526
titanic,Parch,representation.numeric.integer_number,1.0
titanic,Ticket,representation.alphanumeric.alphanumeric_id,1.0
titanic,Fare,finance.currency.amount,0.8904430866241455
titanic,Cabin,representation.alphanumeric.alphanumeric_id,0.9833494424819946
titanic,Embarked,representation.discrete.categorical,0.7541234493255615
airports,id,representation.numeric.integer_number,0.9999189376831055
airports,name,geography.address.full_address,0.5950374007225037
airports,city,geography.location.city,1.0
airports,country,geography.location.country,1.0
airports,iata,geography.transportation.iata_code,0.9999690055847168
airports,icao,geography.transportation.icao_code,1.0
airports,latitude,geography.coordinate.latitude,1.0
airports,longitude,geography.coordinate.longitude,0.929146945476532
airports,altitude,representation.numeric.integer_number,0.800000011920929
airports,utc_offset,datetime.offset.utc,0.9943431615829468
airports,dst,representation.scientific.rna_sequence,0.9894348978996277
airports,timezone,datetime.offset.iana,1.0
airports,type,representation.text.word,0.9896355271339417
airports,source,representation.text.entity_name,0.9178261756896973
countries,name,geography.location.country,0.9975025057792664
countries,alpha-2,geography.location.country_code,0.5
countries,alpha-3,geography.location.country_code,0.5
countries,country-code,geography.location.country_code,0.6641793847084045
countries,iso_3166-2,identity.medical.dea_number,0.3382530212402344
countries,region,geography.location.continent,0.999992847442627
countries,sub-region,geography.location.continent,0.9118327498435974
countries,intermediate-region,geography.location.continent,0.7417939901351929
countries,region-code,representation.numeric.integer_number,0.43035152554512024
countries,sub-region-code,representation.numeric.integer_number,0.6609063744544983
countries,intermediate-region-code,representation.identifier.numeric_code,0.5956795811653137
covid_timeseries,Date,datetime.date.iso,1.0
covid_timeseries,Country,geography.location.country,1.0
covid_timeseries,Confirmed,representation.numeric.integer_number,0.9948599338531494
covid_timeseries,Recovered,representation.numeric.integer_number,0.9879007339477539
covid_timeseries,Deaths,representation.numeric.integer_number,0.9996296167373657
us_states,State,geography.location.state,0.999972939491272
us_states,Abbreviation,geography.location.state_code,0.8816321492195129
world_cities,name,geography.location.city,0.9640064835548401
world_cities,country,geography.location.country,1.0
world_cities,subcountry,geography.location.region,0.9997264742851257
world_cities,geonameid,representation.numeric.integer_number,0.6061952710151672
iris,sepal_length,representation.numeric.decimal_number,0.9999951124191284
iris,sepal_width,representation.numeric.decimal_number,0.9998846054077148
iris,petal_length,representation.numeric.decimal_number,0.9993360638618469
iris,petal_width,representation.numeric.decimal_number,0.9999264478683472
iris,species,representation.discrete.categorical,0.5
ecommerce_orders,order_id,representation.identifier.alphanumeric_id,0.5435628294944763
ecommerce_orders,customer_email,identity.person.email,1.0
ecommerce_orders,order_date,datetime.date.iso,1.0
ecommerce_orders,total_price,finance.currency.amount,0.9885369539260864
ecommerce_orders,currency,finance.currency.currency_code,1.0
ecommerce_orders,credit_card_last4,geography.address.postal_code,0.9945090413093567
ecommerce_orders,shipping_country,geography.location.country,0.9999412298202515
ecommerce_orders,shipping_postal_code,geography.address.postal_code,1.0
ecommerce_orders,status,representation.text.word,0.9951568245887756
ecommerce_orders,is_gift,representation.boolean.terms,0.9999932050704956
ecommerce_orders,tracking_url,technology.internet.url,1.0
ecommerce_orders,phone,identity.person.phone_number,0.5
tech_systems,server_hostname,identity.person.email,0.48030611872673035
tech_systems,ip_address,technology.internet.ip_v4,1.0
tech_systems,mac_address,technology.internet.mac_address,1.0
tech_systems,os,technology.development.os,0.8314055800437927
tech_systems,version,datetime.date.dmy_short_dot,0.9999817609786987
tech_systems,language,representation.discrete.categorical,0.8648290634155273
tech_systems,port,representation.numeric.integer_number,0.6591007113456726
tech_systems,uuid,representation.identifier.uuid,1.0
tech_systems,api_key,technology.cryptographic.token_urlsafe,0.9987667798995972
tech_systems,user_agent,technology.cryptographic.jwt,0.9997561573982239
tech_systems,log_timestamp,datetime.timestamp.iso_8601,1.0
tech_systems,request_url,technology.internet.url,1.0
people_directory,full_name,identity.person.full_name,1.0
people_directory,first_name,identity.person.first_name,0.9999994039535522
people_directory,last_name,identity.person.last_name,1.0
people_directory,email,identity.person.email,1.0
people_directory,phone,identity.person.phone_number,0.5
people_directory,age,representation.numeric.integer_number,0.9985581040382385
people_directory,gender,identity.person.gender,1.0
people_directory,ssn,identity.government.ssn,1.0
people_directory,date_of_birth,datetime.date.iso,1.0
people_directory,company,representation.text.entity_name,1.0
people_directory,job_title,representation.discrete.categorical,0.6154538989067078
people_directory,salary,finance.currency.amount,0.784268856048584
people_directory,height_cm,identity.person.height,0.9824851155281067
people_directory,weight_kg,identity.person.weight,0.9989664554595947
financial_data,date,datetime.date.iso,1.0
financial_data,ticker,geography.transportation.icao_code,0.9999929666519165
financial_data,open_price,finance.currency.amount,0.9997792840003967
financial_data,close_price,finance.currency.amount,0.999881386756897
financial_data,high_price,finance.currency.amount,0.999945878982544
financial_data,low_price,finance.currency.amount,0.9999055862426758
financial_data,volume,identity.medical.npi,0.49491918087005615
financial_data,market_cap,representation.file.file_size,0.552943766117096
financial_data,pe_ratio,representation.numeric.decimal_number,0.9925723671913147
financial_data,dividend_yield,representation.numeric.percentage,1.0
financial_data,currency,finance.currency.currency_code,1.0
financial_data,exchange,representation.discrete.categorical,0.5
datetime_formats,iso_date,datetime.date.iso,1.0
