family	target	source	file_path	column_name	file_content_sha256	n_values
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/object/hazelcast%23hazelcast.parquet	10.3	8a0304cdad690644195e6c5fec3888c00a345dac44a40aaf4143a8db4c4c4053	30
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/parent/account.tax.template_1125.parquet	ref_base_sign	5620ad48c06c3928119f74659068ece9fa6352f7d40660bd078d512f5aa89921	32
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/incubation_period/Illinois_1.parquet	flu lasts	c9d96361a9d4b9e5b4325b302924a7adc90c16775e978dca3b2ee3fffc6d948d	32
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/id/felony2020-02-12%20at%2012.15.38%20PM%20149.parquet	Blood Alcohol Level	e54c8f06a18d450025b569f0a3af4cfa5ce6a2f0fcef42c8ab5e6a783fc32f81	7
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/real_time/covid-19-nursing-home-dataset-week-ending-2020-11-15-NM-2020-10-18.parquet	Staff Weekly COVID-19 Deaths	092a396f809eeae90d324e97fe7e5ee56b401d79ef0137ebe882d6bd8145e55f	32
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/growth_rate/2020-01-09_1.parquet	appleMobility	2c2ed2b0e86f101972cdd59ddcf9f6ebbe79c08177cdbd3b1cf4ac5161758651	32
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/id/tst_train.parquet	NVVar2	bda53aa716f0e3a154b2af9bac91eb3f5fbb01039d4fb40781048d18061eb19d	19
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/parent/214Pb_214Bi_1.parquet	unit	49e3b707a67d2a67d576377bf916b57126893097263c7a47058ae3917d451201	32
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/parent/mdl_question_318.parquet	questiontextformat	dd3b09aac7425aebaabf86800a0b9fe22877b412c7422d8def0585af2ab1cfff	19
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/growth_rate/Sint%20Maarten_1.parquet	appleMobility	aa1d79a6baaf105e6bcfbece11eb586864d9581eaf8a4e21dec85678e8ddf38d	32
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/incubation_period/North%20Carolina_1.parquet	influenza incubation period	dc72b67ac92d14bc750f5d83ae23442deccdb28b6252b97a92c43e96d92436eb	32
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/parent/Bug56811_71.parquet	responseCode	44db0d6b6aeccdf0639d26387fb12954910e450cf0b55a5240c96609100675bf	21
decfix	representation.numeric.decimal_number	sample	/Users/hugh/datasets/gittables/parent/mdl_question_270.parquet	defaultgrade	6a7b7fa87db2f7ae13e38ea51ffe46518f1caa01a413ff1e6ff157b7d06731d9	19
