source,source_file,column_name,sample_values,blind_label,blind_confidence,finetype_label,finetype_confidence,agreement,final_label,reasoning,ground_truth_label,ground_truth_source
sherlock,,,"[""Ottawa Fury FC"", ""New York Cosmos"", ""Tampa Bay Rowdies"", ""Carolina RailHawks"", ""Minnesota United FC"", ""Indy Eleven"", ""Fort Lauderdale Strikers"", ""FC Edmonton"", ""San Antonio Scorpions"", ""Atlanta Silverbacks"", ""Jacksonville Armada""]",representation.text.entity_name,high,representation.text.entity_name,0.7273,yes,representation.text.entity_name,,team,sherlock
sherlock,,,"[""Afghanistan"", ""Albania"", ""Algeria"", ""Antigua & Barbuda"", ""Argentina"", ""Armenia"", ""Aruba"", ""Azerbaijan"", ""Bahamas"", ""Bangladesh"", ""Belarus"", ""Belize"", ""Benin"", ""Bermuda"", ""Bhutan"", ""Bolivia"", ""Bonaire"", ""Bosnia & Herzegovina"", ""Botswana"", ""Brazil""]",geography.location.country,high,geography.location.country,0.4000,yes,geography.location.country,,country,sherlock
sherlock,,,"[""NL"", ""US"", ""FI""]",geography.location.country_code,high,geography.location.country_code,0.6667,yes,geography.location.country_code,,country,sherlock
sherlock,,,"[""2010 - Present"", ""2007 - Present"", ""1999 - 2003"", ""--""]",representation.text.plain_text,medium,geography.address.full_address,0.5000,no,representation.text.plain_text,Year ranges like '2010 - Present' are not structured addresses; plain_text is more appropriate.,duration,sherlock
sherlock,,,"[""Minimal Use, Cleaned"", ""Minimal Use"", ""Straight, Slightly Used"", ""Unnoticeable Use"", ""Like New"", ""Chalked, Cleaned""]",representation.discrete.categorical,medium,representation.text.entity_name,0.5000,no,representation.discrete.categorical,"Condition descriptions are categorical labels, not a named entity.",notes,sherlock
sherlock,,,"[""Team Lanterne Rouge"", ""Team Lanterne Rouge"", ""Team Lanterne Rouge"", ""Team Lanterne Rouge"", """", ""Team Lanterne Rouge"", ""Team Lanterne Rouge""]",representation.text.entity_name,high,representation.text.entity_name,0.8571,yes,representation.text.entity_name,,team Name,sherlock
sherlock,,,"[""Warner Bros. Interactive Entertainment"", ""Warner Bros. Interactive Entertainment"", ""Warner Bros. Interactive Entertainment""]",representation.text.entity_name,high,representation.text.entity_name,1.0000,yes,representation.text.entity_name,,publisher,sherlock
sherlock,,,"[""Hardware See the Application Server Requirements..."", ""An internally deployed Cisco Unified MeetingPlace Web Server..."", ""Hardware Cisco Media Convergence Server (MCS)..."", ""If your deployment requires a HMS..."", ""Cisco Unified MeetingPlace PhoneView..."", ""See the Video Requirements.""]",representation.text.paragraph,high,representation.text.paragraph,0.5000,yes,representation.text.paragraph,,requirement,sherlock
sherlock,,,"[""\""Back in Black\"", he is the longest-running contributor..."", ""Women's Issues Correspondent; married to long-time Daily Show writer Rich Blomquist.""]",representation.text.sentence,high,representation.text.paragraph,0.5000,no,representation.text.sentence,"Values are biographical sentences, not paragraphs.",notes,sherlock
sherlock,,,"["""", ""Result based on less than full coverage, so that the period may be wrong by 30 percent or so...""]",representation.text.sentence,medium,geography.address.full_address,0.5000,no,representation.text.sentence,Single long notes/sentences; paragraph is plausible but sentence fits better for the non-empty value.,notes,sherlock
sherlock,,,"[""10,000 pages1"", ""10,000 pages1"", ""12,000 pages1""]",representation.text.plain_text,medium,finance.currency.amount_space,0.6667,no,representation.text.plain_text,"Values like '10,000 pages1' are mixed text measurements, not currency amounts.",capacity,sherlock
sherlock,,,"[""5"", ""3"", ""3"", ""3"", ""5"", ""4""]",representation.numeric.integer_number,high,representation.numeric.integer_number,1.0000,yes,representation.numeric.integer_number,,age,sherlock
sherlock,,,"[""Warner Bros. Interactive Entertainment"", ""Kadokawa Games"", ""Warner Bros. Interactive Entertainment""]",representation.text.entity_name,high,representation.text.entity_name,0.6667,yes,representation.text.entity_name,,publisher,sherlock
sherlock,,,"[""Austin"", ""Tucson"", ""Phoenix"", ""West Hollywood"", ""San Diego"", ""San Francisco"", ""Seattle"", ""Vancouver"", ""Portland"", ""Provo"", ""Denver"", ""Pilton""]",geography.location.city,high,geography.location.country,0.3333,no,geography.location.city,Values are clearly city names; finetype returned country with low confidence (0.33).,city,sherlock
sherlock,,,"[""Ludwigshafen (Germany - Rhineland-Palatinate)"", ""Eferding (Austria - Upper Austria)""]",representation.text.plain_text,medium,geography.location.country,0.5000,no,representation.text.plain_text,City with country/region in parentheses; not a clean country classification.,location,sherlock
sherlock,,,"[""None"", ""Aug 17, 1991"", ""None"", ""May 9, 1995"", ""None"", ""None"", ""None"", ""Feb 7, 1938"", ""None"", ""None"", ""Jul 22, 1986"", ""None"", ""None"", ""None"", ""Mar 22, 1947"", ""None"", ""Oct 5, 1995"", ""None"", ""Mar 15, 1995"", ""None""]",datetime.date.abbreviated_month,medium,geography.address.street_suffix,0.6500,no,datetime.date.abbreviated_month,"Dates like 'Aug 17, 1991' are abbreviated month dates; finetype misclassified as street_suffix.",birth Date,sherlock
sherlock,,,"["""", ""USA"", """", ""USA"", """", ""USA"", ""USA"", """", ""USA"", """", ""USA"", """", ""USA"", ""USA""]",geography.location.country_code,medium,geography.transportation.iata_code,0.5714,no,geography.location.country_code,"Values are 'USA' country abbreviations, not IATA codes.",country,sherlock
sherlock,,,"[""Columbus"", ""Madison"", ""Pittsburgh"", ""Kensington"", ""Tucson"", ""Vienna"", ""Minnetonka"", ""Dallas"", ""Deerfield"", ""Paramus"", ""Washington"", ""Westbury"", ""Utica"", ""Phoenix"", ""San Francisco"", ""Peabody"", ""Manchester"", ""Mesa"", ""Dearborn"", ""Las Vegas""]",geography.location.city,high,geography.location.country,0.1250,no,geography.location.city,Values are US city names; finetype returned country with very low confidence (0.125).,city,sherlock
sherlock,,,"[""Mon"", ""Tues"", ""Wed"", ""Thurs"", ""Fri"", ""Sat"", ""Sun""]",datetime.component.day_of_week,high,identity.person.last_name,0.0714,no,datetime.component.day_of_week,Day abbreviations Mon/Tues/Wed are day_of_week; finetype returned last_name with very low confidence.,order,sherlock
sherlock,,,"[""3/6M"", ""6/9M"", ""9/12M""]",representation.text.plain_text,medium,representation.identifier.alphanumeric_id,1.0000,no,representation.text.plain_text,"Age-range codes like '3/6M' are plain text labels, not standard identifiers.",age,sherlock
sherlock,,,"[""142 g (5.59 oz)"", ""150 g (6 oz)"", ""210 g (7.39 oz)"", ""250 g (8.5 oz)"", ""225 g (7.92 oz)""]",identity.person.weight,medium,finance.currency.amount_neg_trailing,0.6000,no,representation.text.plain_text,Values like '142 g (5.59 oz)' are weight measurements in plain text format; amount_neg_trailing is wrong.,weight,sherlock
sherlock,,,"[""TOC"", ""ARIZ"", ""TOC"", ""SDSM"", ""MOST"", ""NCMS"", ""SDSM"", ""MICH"", ""GOLD"", ""NCMS""]",representation.identifier.alphanumeric_id,medium,geography.transportation.icao_code,0.8000,no,representation.identifier.alphanumeric_id,Short 4-letter codes are alphanumeric identifiers; icao_code requires specific format.,club,sherlock
sherlock,,,"[""20"", ""15"", ""23"", ""50"", ""43"", ""90"", ""48"", ""20"", ""39""]",representation.numeric.integer_number,high,representation.identifier.numeric_code,1.0000,no,representation.numeric.integer_number,Blind classification preferred based on domain knowledge; finetype result appears incorrect.,weight,sherlock
sherlock,,,"[""CAL-MAINE F\u2026"", ""GTT COMMUNI\u2026"", ""SIMULATIONS\u2026"", ""BOOT BARN H\u2026"", ""OUTERWALL I\u2026""]",representation.text.entity_name,high,geography.location.country,0.1000,no,representation.text.entity_name,Truncated company names with ellipsis; finetype returned country with very low confidence.,company,sherlock
sherlock,,,"[""AS"", ""CC"", ""FPAY"", ""FPAY"", ""FPAY""]",representation.identifier.alphanumeric_id,medium,representation.scientific.smiles,0.6000,no,representation.identifier.alphanumeric_id,"Short codes like AS/CC/FPAY are alphanumeric identifiers, not SMILES chemical notation.",code,sherlock
sherlock,,,"[""1969 - 1970"", ""2000 - 2002"", ""1981 - 1982"", ""1987 - 1990"", ""1967 - 1968""]",representation.text.plain_text,medium,identity.person.phone_number,1.0000,no,representation.text.plain_text,Year ranges like '1969 - 1970' are plain text; not phone numbers.,affiliation,sherlock
sherlock,,,"[""Florala"", ""Luverne"", ""Vincent"", ""Ariton"", ""Ider"", ""Asbury"", ""Hale County"", ""New Brockton"", ""Westbrook Christian"", ""Cherokee""]",geography.location.city,medium,geography.location.region,0.4000,no,geography.location.city,Values are small Alabama town names; finetype returned region with low confidence.,team,sherlock
sherlock,,,"[""SAM"", ""LIDCA"", ""RAF"", ""Lineas Interamericana A\u00e9rea"", ""LANSA"", ""Agencia Interamericana"", ""Transandina"", ""VIARCO"", ""Avianca"", ""Aeroflot"", ""RAF"", ""RAF"", ""RAF"", ""RAAF"", ""RAF"", ""RAAF"", ""Colombian AF"", ""Colombian AF"", ""SACO""]",representation.text.entity_name,high,representation.text.entity_name,0.4211,yes,representation.text.entity_name,,operator,sherlock
sherlock,,,"[""Ted Nugent"", ""Ted Nugent: Super Hits"", ""The Ultimate Ted Nugent"", ""Free-For-All"", ""Spirit of the Wild"", ""Double Live Gonzo!"", ""Cat Scratch Fever"", ""Ted Nugent"", ""Ted Nugent: Super Hits"", ""Great Gonzos - The Best of Ted Nugent""]",representation.text.entity_name,high,representation.text.entity_name,0.7000,yes,representation.text.entity_name,,album,sherlock
sherlock,,,"[""Recent Obituaries"", ""Recent Obituaries"", ""Newspaper Archives"", ""Newspaper Archives"", ""Newspaper Archives"", ""Recent Obituaries"", ""Recent Obituaries"", ""Newspaper Archives"", ""Recent Obituaries"", ""Recent Obituaries"", ""Recent Obituaries"", ""Recent Obituaries"", ""Newspaper Archives"", ""Newspaper Archives"", ""Recent Obituaries"", ""Newspaper Archives"", ""Recent Obituaries"", ""Newspaper Archives"", ""Newspaper Archives"", ""Newspaper Archives""]",representation.discrete.categorical,high,representation.text.entity_name,0.5000,no,representation.discrete.categorical,"Values are category labels (Recent Obituaries, Newspaper Archives); entity_name is wrong.",collection,sherlock
sherlock,,,"[""February 20, 1963"", ""February 13, 1970"", ""June 5, 1967"", ""August 27, 1968"", ""June 22, 1962"", ""November 26, 1963"", ""January 31, 1974"", ""May 1, 1959"", ""April 3, 1957"", ""April 2, 1975"", ""May 26, 1970"", ""December 6, 1971"", ""December 28, 1965"", ""January 21, 1963"", ""December 9, 1968"", ""January 28, 1973"", ""September 10, 1961"", ""September 6, 1962""]",datetime.date.long_full_month,high,datetime.date.long_full_month,1.0000,yes,datetime.date.long_full_month,,birth Date,sherlock
sherlock,,,"[""Main Library"", ""Main Library"", ""Brookfield Branch""]",representation.text.entity_name,medium,representation.text.entity_name,0.6667,yes,representation.text.entity_name,,location,sherlock
sherlock,,,"[""Carefusion Corp"", ""Carefusion Corp"", ""Carefusion Corp"", ""Carefusion Corp"", ""Resmed Inc""]",representation.text.entity_name,high,representation.text.entity_name,1.0000,yes,representation.text.entity_name,,company,sherlock
sherlock,,,"["""", ""BLND"", ""DEAF"", ""WCHR"", ""WCHS"", ""WCHC"", ""WCMP"", ""WCBD"", ""Blindenhund"", """", """", ""BAG"", ""BAG (BM)"", ""BAG 2 - 5"", ""XBA/XMA"", ""XBB-XBE/MBXME"", ""SKI"", ""WEA"", ""GOLF"", ""BIKE""]",representation.identifier.alphanumeric_id,medium,representation.text.entity_name,0.5000,no,representation.identifier.alphanumeric_id,"Short service/disability codes (BLND, DEAF, WCHR); entity_name is less specific.",service,sherlock
sherlock,,,"["""", ""Pizza""]",representation.discrete.categorical,low,identity.person.last_name,0.5000,no,representation.discrete.categorical,"Only 2 values (Pizza, empty); categorical is appropriate. last_name is wrong.",category,sherlock
sherlock,,,"[""Mon"", ""Mon""]",datetime.component.day_of_week,high,identity.person.gender,1.0000,no,datetime.component.day_of_week,Only 'Mon' values; gender classification (Mon=Monday) is wrong.,day,sherlock
sherlock,,,"[""Coal"", ""Lignite"", ""Natural gas"", ""Petrolium products"", ""Nuclear fuel"", ""Renewable energy"", ""Hydro-storage"", ""Waste"", ""TOTAL""]",representation.discrete.categorical,high,representation.text.entity_name,0.1111,no,representation.discrete.categorical,Energy type categories; not person full names.,year,sherlock
sherlock,,,"[""BMX National B"", ""BMX National B"", ""BMX International A"", ""BMX National B"", ""BMX National B"", ""BMX National B"", ""Rider's total points""]",representation.discrete.categorical,high,identity.person.full_name,0.8571,no,representation.discrete.categorical,Category labels like BMX National B; full_name is wrong.,category,sherlock
sherlock,,,"[""Granite Gear"", ""Granite Gear"", ""Granite Gear"", ""Granite Gear"", ""Granite Gear"", ""REI"", ""Montbell"", ""Montbell"", ""Vaude"", ""Vaude"", ""Osprey"", ""Mountain Hardwear"", ""Granite Gear"", ""Gregory Packs"", ""JanSport"", ""JanSport"", ""Wild Things"", ""Coleman"", ""The North Face"", ""Osprey""]",representation.text.entity_name,high,geography.location.country,0.5000,no,representation.text.entity_name,Blind classification preferred based on domain knowledge; finetype result appears incorrect.,manufacturer,sherlock
sherlock,,,"[""Safari Zone (Middle)"", ""Safari Zone (Area 1, East)"", ""Safari Zone (Area 2, North)"", ""Safari Zone (Area 3, West)""]",representation.text.plain_text,medium,geography.location.city,0.7500,no,representation.text.plain_text,Location descriptions with area qualifiers; city is too specific.,area,sherlock
sherlock,,,"[""3:23"", ""2:41"", ""1:57"", ""1:57"", ""2:36"", ""4:03""]",datetime.time.hm_24h,medium,representation.numeric.integer_number,0.5000,no,datetime.time.hm_24h,mm:ss durations like '3:23' could be time or duration; hm_24h agrees with blind.,duration,sherlock
sherlock,,,"[""Class begins on 06/04/12"", ""Class will meet for the entire summer semester"", ""This course is cross-listed with the Grad Tax Program..."", ""Contact Externship Office for Details..."", ""Mandatory course for first time externship students..."", ""Professor permission only;"", ""Professor permission only"", ""Professor permission only""]",representation.text.paragraph,high,representation.text.sentence,0.8000,no,representation.text.paragraph,Blind classification preferred based on domain knowledge; finetype result appears incorrect.,notes,sherlock
sherlock,,,"[""TESSCO TECH\u2026"", ""ITT EDUCATI\u2026"", ""GUESS? INC"", ""TECH DATA C\u2026"", ""SANMINA COR\u2026""]",representation.text.entity_name,high,representation.text.entity_name,0.1000,yes,representation.text.entity_name,,company,sherlock
