source,source_file,column_name,sample_values,blind_label,blind_confidence,finetype_label,finetype_confidence,agreement,final_label,reasoning,ground_truth_label,ground_truth_source
sherlock,,,"[""4.0"", ""2.0"", ""1.0"", ""None""]",representation.numeric.decimal_number,medium,representation.numeric.decimal_number,0.75,yes,representation.numeric.decimal_number,,position,sherlock
sherlock,,,"[""The Very Best of Travis Tritt"", ""The Very Best of Travis Tritt"", ""The Calm After..."", ""The Restless Kind"", ""No More Looking Over My Shoulder"", ""The Very Best of Travis Tritt"", ""Randy Jackson's Music Club, Vol. 1"", ""The Greatest Country Dance Record Ever, Vol. One"", ""Down the Road I Go"", ""Country Christmas, Vol. 3 - EP""]",representation.text.plain_text,high,representation.text.entity_name,0.6,no,representation.text.entity_name,FineType correctly identifies these as entity names (music album titles); plain_text is too generic.,album,sherlock
sherlock,,,"[""ENDA co-sponsor, member of the Equality Caucus, received $23,175 in LGBT issue donations"", ""ENDA co-sponsor, member of the Equality Caucus, received $4025 from HRC"", ""ENDA co-sponsor, member of the Equality Caucus, Received $28,808 in donations from LGBT issue donations (including $7600 from Tim Gill)"", ""ENDA co-sponsor, member of the Equality Caucus, received $24,550 in LGBT issue donations"", ""ENDA co-sponsor, member of the Equality Caucus, received $5,500 in LGBT issue donations"", ""ENDA co-sponsor, member of the Equality Caucus, received $48,045 in LGBT issue donations"", ""ENDA co-sponsor, member of the Equality Caucus, received $15,250 in LGBT issue donations"", ""ENDA co-sponsor, member of the Equality Caucus, received $17,850 in LGBT issue donations"", ""ENDA co-sponsor, member of the Equality Caucus, received $28,325 in LGBT issue donations"", ""ENDA co-sponsor, member of the Equality Caucus, received $11,500 in LGBT issue donations""]",representation.text.sentence,high,geography.address.full_address,1.0,no,representation.text.sentence,These are long sentences describing political positions; blind classification is more appropriate.,notes,sherlock
sherlock,,,"[""Forget the Rain - Single"", ""Around Your Head - Single"", ""Around Your Head - Single"", ""Corsica & the Descent - Single"", ""Corsica & the Descent - Single"", ""Compilation Ibiza Summer Essential Music Hits 2013"", ""The Descent - Single"", ""The Descent - Single"", ""Forget the Rain - Single"", ""Forget the Rain - Single""]",representation.text.plain_text,high,representation.text.entity_name,0.5,no,representation.text.entity_name,FineType correctly identifies these as entity names (music titles); plain_text is too generic.,album,sherlock
sherlock,,,"[""College for Music Cologne Dagobertstra\u00dfe 38 50668 K\u00f6ln Tel. 0221/912818-105 heike.sauer@uni-koeln.de"", ""Lanxess Arena K\u00f6lnarena Management GmbH Willy-Brandt-Platz 3 50679 K\u00f6ln Tel. 0221/8021 Fax 0221/8022099 contact@lanxessarena.de"", ""K\u00f6lner Philharmonie Bischofsgartenstra\u00dfe 1 50667 K\u00f6ln Tel. 0221/20408-0 feedback@koelnmusik.de"", ""WDR Gro\u00dfer Sendesaal Funkhaus Wallrafplatz, Wallrafplatz 5 50667 K\u00f6ln Tel. 0221/220-0 Fax 0221/220-4800 info@wdr.de"", ""Deutschlandradio Funkhaus K\u00f6ln Gro\u00dfer Sendesaal Raderbergg\u00fcrtel 40 50968 K\u00f6ln Tel. 0221/345-0 Fax 0221/345-4802 info@dradio.de""]",geography.address.full_address,high,representation.text.sentence,0.8,no,geography.address.full_address,FineType correctly identifies these as full addresses; the entries contain address + phone + email for venues.,address,sherlock
sherlock,,,"[""Albania"", ""Algeria"", ""Angola"", ""Argentina"", ""Armenia"", ""Australia"", ""Austria"", ""Azerbaijan"", ""Bahrain"", ""Bangladesh""]",geography.location.country,high,geography.location.country,0.4,yes,geography.location.country,,country,sherlock
sherlock,,,"[""10"", ""10"", ""10"", ""10""]",representation.numeric.integer_number,medium,representation.identifier.numeric_code,1.0,no,representation.identifier.numeric_code,"Values are all '10', low cardinality; FineType's numeric_code is more precise than integer_number for a fixed code.",duration,sherlock
sherlock,,,"[""Available"", ""Available"", ""Available"", ""Available"", ""Due 8-18-2015"", ""Available"", ""Available"", ""Available"", ""Available"", ""Available""]",representation.text.plain_text,medium,representation.discrete.categorical,0.95,no,representation.discrete.categorical,FineType correctly identifies the limited set of status values (Available/Due); categorical is more precise than plain_text.,status,sherlock
sherlock,,,"[""1"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2""]",representation.numeric.integer_number,medium,representation.boolean.initials,0.95,no,representation.boolean.initials,FineType detects binary-like initials (1/2). However these look like rank values. Blind label integer_number is more semantically correct for rank data.,rank,sherlock
sherlock,,,"[""Petroleum and Coal Products Manufacturing"", ""Oil and Gas Extraction"", ""Support Activities for Mining"", ""Agriculture, Construction, and Mining Machinery Manufacturing"", ""Management of Companies and Enterprises""]",representation.text.plain_text,high,representation.text.entity_name,0.6,no,representation.text.entity_name,FineType correctly identifies industry sector names as entity names; plain_text is too generic.,industry,sherlock
sherlock,,,"[""Cosmic Ignition"", ""Amy Jane"", ""Fly Away (feat. Ruthybabez) - Single"", ""Cataclysmic Pink - Single"", ""Ibiza Mayhem 2012"", ""Cosmic Ignition"", ""Guitar Mashing"", ""Ibiza Mayhem 2012"", ""Dirty Mule - Single"", ""One Life - Single""]",representation.text.plain_text,high,representation.text.entity_name,0.6,no,representation.text.entity_name,FineType correctly identifies music titles as entity names; plain_text is too generic.,album,sherlock
sherlock,,,"[""explicit operator string"", ""implicit operator OracleString""]",representation.text.plain_text,medium,container.array.whitespace_separated,0.5,no,representation.text.plain_text,These are code/operator descriptions; whitespace_separated is incorrect. Blind plain_text is better.,operator,sherlock
sherlock,,,"[""Tetraodontiformes"", ""Tetraodontiformes"", ""Tetraodontiformes"", ""Tetraodontiformes""]",representation.text.word,medium,representation.discrete.categorical,1.0,no,representation.discrete.categorical,FineType correctly spots low cardinality (one repeated value); categorical is appropriate.,order,sherlock
sherlock,,,"[""?"", ""?"", ""Peekskill, NY""]",geography.location.city,low,representation.boolean.initials,0.667,no,representation.text.plain_text,Most values are '?'; boolean.initials is incorrect. The one real value is a city but data is too sparse and noisy.,location,sherlock
sherlock,,,"[""ACE"", ""ACE"", ""ACE"", ""ACE"", ""ACE"", ""ACE"", ""ACE"", ""ACE"", ""ACE"", ""ACE"", ""ACE"", ""ACE"", ""Player"", ""Player"", ""Player"", ""Server"", ""Vmware Player"", ""Vmware Player"", ""Vmware Player"", ""Vmware Player""]",representation.text.plain_text,medium,geography.transportation.iata_code,0.6,no,representation.discrete.categorical,FineType correctly identifies the limited set of software product names as categorical; plain_text is too generic.,product,sherlock
sherlock,,,"[""Mon"", ""Tues"", ""Wed"", ""Thurs"", ""Fri"", ""Sat"", ""Sun""]",datetime.component.day_of_week,high,identity.person.last_name,0.071,no,datetime.component.day_of_week,Blind correctly identifies day abbreviations; FineType classified as last_name which is wrong.,order,sherlock
sherlock,,,"[""803 KB"", ""684 KB"", ""798 KB"", ""691 KB"", ""793 KB"", ""697 KB"", ""800 KB"", ""692 KB"", ""796 KB"", ""690 KB""]",representation.file.file_size,high,representation.file.file_size,1.0,yes,representation.file.file_size,,file Size,sherlock
sherlock,,,"[""Arnsberg (Germany - North Rhine-Westphalia)"", ""Recklinghausen (Germany - North Rhine-Westphalia)""]",geography.location.region,medium,geography.location.region,1.0,yes,geography.location.region,,location,sherlock
sherlock,,,"[""REMI"", ""LAPS"", ""FP""]",representation.text.word,low,representation.identifier.alphanumeric_id,0.667,no,representation.text.word,REMI/LAPS/FP are short codes; FineType's alphanumeric_id isn't wrong but blind word is more semantically accurate for status codes.,code,sherlock
sherlock,,,"[""FC Dallas"", ""Vancouver Whitecaps FC"", ""LA Galaxy"", ""Sporting Kansas City"", ""Seattle Sounders FC"", ""Portland Timbers"", ""Real Salt Lake"", ""Houston Dynamo"", ""San Jose Earthquakes"", ""Colorado Rapids""]",representation.text.entity_name,high,representation.text.entity_name,0.7,yes,representation.text.entity_name,,club,sherlock
sherlock,,,"[""line drive out, third base"", ""strikeout"", ""foul pop fly out, first base"", ""shortstop to first base, ground ball"", ""fly ball out, left field"", ""strikeout"", ""ground ball single, center field"", ""ground ball single, left field"", ""line drive single, left field"", ""third base to second base to first base, ground ball double play""]",representation.text.sentence,high,container.array.whitespace_separated,0.667,no,representation.text.sentence,Baseball play descriptions are sentences; FineType's whitespace_separated is incorrect.,result,sherlock
sherlock,,,"[""240.00 k"", ""15.68 k"", ""605.00 k"", ""546.50 k"", ""343.40 k"", ""513.50 k"", ""240.20 k"", ""510.00 k"", ""491.80 k"", ""952.00 k""]",representation.numeric.si_number,high,representation.identifier.alphanumeric_id,0.4,no,representation.numeric.si_number,Values like '240.00 k' are SI numbers; FineType's alphanumeric_id is incorrect.,position,sherlock
sherlock,,,"[""Home"", ""Away"", ""Away""]",representation.discrete.categorical,high,representation.text.entity_name,0.333,no,representation.discrete.categorical,Blind and FineType agree on categorical for Home/Away; entity_name is incorrect.,location,sherlock
sherlock,,,"[""South Burlington"", ""Montreal"", ""Toronto"", ""Grand Rapids"", ""Fargo"", ""Winnipeg"", ""Edmonton"", ""Calgary"", ""Vancouver"", ""London"", ""Birmingham"", ""Manchester"", ""Glasgow"", ""Newcastle Upon Tyne"", ""Nottingham"", ""Bristol"", ""London"", ""London"", ""London"", ""Paris""]",geography.location.city,high,identity.person.last_name,0.3,no,geography.location.city,These are clearly city names; FineType's last_name is incorrect.,city,sherlock
sherlock,,,"[""Mark Terranova Chris Whitehorn"", ""Ben Williams"", ""Chris Whitehorn"", ""Mark Terranova Chris Whitehorn"", ""Mark Terranova"", ""David Ramsey"", ""David Ramsey""]",identity.person.full_name,medium,representation.text.entity_name,0.857,no,identity.person.full_name,These are person names (some with multiple names); FineType agrees.,owner,sherlock
sherlock,,,"["""", ""BLND"", ""DEAF"", ""WCHR"", ""WCHS"", ""WCHC"", ""WCMP"", ""WCBD"", ""Blindenhund"", """", """", ""BAG"", ""BAG (BM)"", ""BAG 2 - 5"", ""XBA/XMA"", ""XBB-XBE/MBXME"", ""SKI"", ""WEA"", ""GOLF"", ""BIKE""]",representation.text.word,medium,representation.text.entity_name,0.5,no,representation.text.word,"Airline service codes (WCHR, DEAF etc) are short codes/words; FineType entity_name is plausible but word is more precise.",service,sherlock
sherlock,,,"[""Mark Wallinger"", ""Paul Jouve"", ""Hokusai"", ""Adrian Lines"", ""Susie Allen""]",identity.person.full_name,medium,identity.person.full_name,0.4,yes,identity.person.full_name,,artist,sherlock
sherlock,,,"[""Art Teacher Education"", ""Biology Teacher Education"", ""Chemistry Teacher Education"", ""Counselor Education/School Counseling and Guidance Services"", ""Drama and Dance Teacher Education"", ""Early Childhood Education and Teaching"", ""Earth Science Teacher Education"", ""Educational Leadership and Administration, General"", ""Elementary Education and Teaching"", ""English/Language Arts Teacher Education""]",representation.text.plain_text,high,representation.text.entity_name,0.95,no,representation.text.entity_name,FineType correctly identifies education program names as entity names; plain_text is too generic.,education,sherlock
sherlock,,,"[""Penguin Character Books Ltd"", ""Cambridge Scholars Publishing""]",representation.text.entity_name,high,representation.text.entity_name,1.0,yes,representation.text.entity_name,,publisher,sherlock
sherlock,,,"[""INTRO THEME Bama & The Family"", ""Menahan Street Band"", ""Venice Dawn"", ""Sureshot Symphony Solution feat Coultrain"", ""Echocentrics"", ""Quantic & Alice Russell with Combo Barbaro"", ""Les Freres Smith feat Oghene Kologbo"", ""Relaxo"", ""Linton Kwesi Johnson"", ""URoy""]",representation.text.entity_name,medium,representation.text.entity_name,0.35,yes,representation.text.entity_name,,artist,sherlock
sherlock,,,"[""N Callan"", ""S Sanders"", ""L Morris"", ""P Robinson"", ""R Hills"", ""R L Moore"", ""P Hills (3)""]",identity.person.full_name,medium,representation.text.entity_name,0.857,no,identity.person.full_name,"These are abbreviated jockey names; FineType entity_name is wrong, blind full_name is correct.",jockey,sherlock
sherlock,,,"[""Albania"", ""Armenia"", ""Austria"", ""Azerbaijan"", ""Bangladesh"", ""Belarus"", ""Belgium"", ""Bhutan"", ""Bosnia and Herzegovina"", ""Brunei Darussalam"", ""Bulgaria"", ""Cambodia"", ""Croatia"", ""Czech Republic"", ""Denmark"", ""Estonia"", ""Finland"", ""France"", ""Georgia"", ""Germany""]",geography.location.country,high,geography.location.country,0.4,yes,geography.location.country,,country,sherlock
sherlock,,,"[""J Fanning"", ""T Hamilton"", ""A Munro"", ""Liam Jones (5)"", ""R Hills"", ""G Parkin"", ""F Norton""]",identity.person.full_name,medium,representation.text.entity_name,0.571,no,identity.person.full_name,"These are abbreviated jockey names; FineType entity_name is wrong, blind full_name is correct.",jockey,sherlock
sherlock,,,"[""Haywood"", ""Shelby"", ""Shelby"", ""Cannon"", ""Madison"", ""Shelby"", ""Obion"", ""Shelby"", ""Franklin"", ""Gibson"", ""Haywood"", ""Shelby"", ""Henderson"", ""Stewart"", ""Franklin"", ""Dyer"", ""Bradley"", ""Humphreys"", ""Hamblen"", ""Anderson""]",geography.location.region,medium,identity.person.last_name,0.125,no,geography.location.region,These are county names; FineType last_name is wrong. Blind region is correct.,county,sherlock
sherlock,,,"["""", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", """", ""Team Party Time"", """", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time"", ""Team Party Time""]",representation.text.plain_text,medium,representation.text.entity_name,0.85,no,representation.text.entity_name,FineType correctly identifies team names as entity names; plain_text is too generic.,team Name,sherlock
sherlock,,,"[""Degol Field"", """", """", """", """", ""Club Football Game"", """", """", """", ""Club Football Game""]",representation.text.plain_text,low,geography.location.region,0.1,no,representation.text.plain_text,These are sparse notes/venue names; FineType region is incorrect.,notes,sherlock
sherlock,,,"["""", """", ""Right to Life""]",representation.text.plain_text,low,representation.boolean.initials,0.667,no,representation.boolean.initials,FineType's boolean.initials is wrong for 'Right to Life'; blind plain_text is better.,affiliate,sherlock
sherlock,,,"[""18\"""", ""24\"""", ""18\"""", ""24\""""]",representation.text.word,medium,representation.numeric.integer_number,0.5,no,representation.numeric.integer_number,"Values are measurements like '18""'; FineType's integer_number (stripping the inch mark) is plausible but blind word is also fine. Using FineType as it strips units.",depth,sherlock
sherlock,,,"[""JPEG"", ""Adobe PDF""]",representation.file.extension,medium,representation.text.entity_name,0.5,no,representation.text.entity_name,"File format names (JPEG, PDF); FineType entity_name is wrong. Blind file.extension is more correct.",format,sherlock
sherlock,,,"[""Hostel"", ""HOTEL""]",representation.discrete.categorical,medium,technology.internet.http_method,0.5,no,representation.discrete.categorical,Hotel/hostel type is categorical; FineType's http_method is wrong. Blind categorical is correct.,type,sherlock
sherlock,,,"[""Ecole polytechnique route de saclay, Palaiseau, FR"", ""Ecole polytechnique route de saclay, Palaiseau, FR""]",geography.address.full_address,high,identity.person.full_name,1.0,no,identity.person.full_name,"FineType prediction (identity.person.full_name, conf=1.00) preferred over blind (geography.address.full_address) due to higher confidence.",location,sherlock
sherlock,,,"[""5,920,509"", ""5,920,511"", ""5,920,512"", ""5,920,515"", ""5,920,520"", ""5,920,527"", ""5,920,530"", ""5,920,537"", ""5,920,540"", ""5,920,541"", ""5,920,544""]",representation.numeric.integer_number,high,finance.currency.amount_nodecimal,0.545,no,representation.numeric.integer_number,Large comma-formatted numbers; FineType amount_nodecimal is plausible (currency without decimals) but blind integer_number is more generic and correct.,rank,sherlock
sherlock,,,"[""Mare"", ""Gelding"", ""Gelding"", ""Gelding"", ""Gelding"", ""Mare"", ""Gelding"", ""Mare"", ""Colt"", ""Filly"", ""Gelding"", ""Mare"", ""Gelding"", ""Mare"", ""Mare"", ""Gelding"", ""Mare"", ""Mare"", ""Gelding"", ""Mare""]",representation.discrete.categorical,high,geography.location.country,0.45,no,representation.discrete.categorical,Horse gender (Mare/Gelding/Colt/Filly); FineType country is wrong. Blind categorical is correct.,gender,sherlock
sherlock,,,"[""978-0-19-423410-8"", ""978-0-19-478867-0"", ""978-0-19-479011-6"", ""978-0-19-479107-6"", ""978-0-19-479163-2"", ""978-0-19-479214-1"", ""978-0-19-479252-3""]",identity.commerce.isbn,high,identity.commerce.isbn,1.0,yes,identity.commerce.isbn,,isbn,sherlock
sherlock,,,"[""North America"", ""Europe""]",geography.location.continent,high,geography.location.continent,1.0,yes,geography.location.continent,,region,sherlock
sherlock,,,"[""169"", ""198"", ""249"", ""177"", ""139"", ""150"", ""312"", ""138"", ""177"", ""302"", ""369"", ""148"", ""115"", ""119"", ""355"", ""204"", ""113"", ""363"", ""88"", ""298""]",representation.numeric.integer_number,high,representation.identifier.numeric_code,1.0,no,representation.identifier.numeric_code,FineType correctly identifies these integer values as numeric codes; blind integer_number is also valid but numeric_code is more precise for an identifier.,plays,sherlock
sherlock,,,"[""Owner of the constraint definition"", ""Name associated with the constraint definition"", ""Name associated with table with constraint definition"", ""Name associated with column specified in the constraint definition"", ""Original position of column in definition""]",representation.text.sentence,high,representation.text.entity_name,0.6,no,representation.text.sentence,Database constraint descriptions are sentences; FineType entity_name is wrong.,description,sherlock
